tweet_count,tweet_id,username,text,created at,url
1,1840508066229330196,Fabrizio Romano,"🚨⚪️ Thibaut Courtois has suffered a muscle injury, says Carlo Ancelotti.

“He will undergo tests tomorrow”. https://t.co/ZQwJPuJxMM",Sun Sep 29 21:44:52 +0000 2024,https://twitter.com/FabrizioRomano/status/1840508066229330196
2,1840501468895629738,Fabrizio Romano,Who’s your Man of the Match for the Derbi? ✨ https://t.co/0MaXz2NR5o,Sun Sep 29 21:18:39 +0000 2024,https://twitter.com/FabrizioRomano/status/1840501468895629738
3,1840489589829402709,Fabrizio Romano,⚠️ Simeone and Koke ask Atlético fans to stop throwing objects to Courtois… as the game has been currently suspended. https://t.co/0n3deNrwln,Sun Sep 29 20:31:27 +0000 2024,https://twitter.com/FabrizioRomano/status/1840489589829402709
4,1840481896263831737,Fabrizio Romano,"🔴📈 Erik ten Hag: “There is always a new day”.

“I told the guys in the dressing room: come on. Tomorrow, a new day. We will bounce back, I’m sure”. https://t.co/D7D8hSA7lh",Sun Sep 29 20:00:53 +0000 2024,https://twitter.com/FabrizioRomano/status/1840481896263831737
5,1840460862236315655,Fabrizio Romano,"🚨🔴 Ten Hag: “We will bounce back”.

“There is always a new day and we will learn from it”.

“My players are strong characters and we will bounce back. We have to learn from this and quickly”. https://t.co/x8ccx49u8h",Sun Sep 29 18:37:18 +0000 2024,https://twitter.com/FabrizioRomano/status/1840460862236315655
6,1840459066847698950,Fabrizio Romano,"🚨 Ten Hag: “I’m not thinking about being sacked, not at all. We all made the decision to stay together”.

“Ownership, staff, players, myself. We made the decision from a clear review of what we have to do”.

“We knew it would take some time. We are on the same page together”. https://t.co/qs1qaIljuM",Sun Sep 29 18:30:10 +0000 2024,https://twitter.com/FabrizioRomano/status/1840459066847698950
7,1840457684627177925,Fabrizio Romano,"🚨❗️ Ten Hag: “We have to deal with this and show resilience. This is not good enough”.

“We have to accept this and get better. Focus on the next game and do things better than we did today”. https://t.co/tOWbQRQwGn",Sun Sep 29 18:24:40 +0000 2024,https://twitter.com/FabrizioRomano/status/1840457684627177925
8,1840456048509083989,Fabrizio Romano,"🔴❗️ Erik ten Hag, not happy with the first goal conceded: “To concede a goal after two or three minutes like that, it did something to our belief”.

“Totally unneccessary”, told BBC.

“It’s same mistake we did against Twente, it should be stopped in the first moment”. https://t.co/oxrNTWfil8",Sun Sep 29 18:18:10 +0000 2024,https://twitter.com/FabrizioRomano/status/1840456048509083989
9,1840455439907168685,Fabrizio Romano,"⚪️📈 Postecoglou tells BBC: “Today it was an outstanding performance”.

“We controlled the game well. Just an outstanding effort from all the lads”. https://t.co/2puSQxezmC",Sun Sep 29 18:15:45 +0000 2024,https://twitter.com/FabrizioRomano/status/1840455439907168685
10,1840452225304248684,Fabrizio Romano,"🚨🔴 Bruno Fernandes: “It was never a red card, that is my view”.

“I agree that it is a foul… yellow card? I can accept, but it is never a foul worth a red card”. https://t.co/zcELHxjMkE",Sun Sep 29 18:02:59 +0000 2024,https://twitter.com/FabrizioRomano/status/1840452225304248684
11,1840451491162632253,Fabrizio Romano,"🚨 Bruno Fernandes: “I just wanted to come and do the interview and be myself because my team-mates deserve that for what they have done in the game playing with one man less”, told BBC.

“I have to appreciate all the effort my team-mates have done”. https://t.co/0vo742zCte",Sun Sep 29 18:00:04 +0000 2024,https://twitter.com/FabrizioRomano/status/1840451491162632253
12,1840444560859595067,Fabrizio Romano,"🔴⚠️ Manchester United have scored only one goal in Premier League at Old Trafford so far.

It was scored by Joshua Zirkzee on the opening PL game vs Fulham. https://t.co/1iyUvbVdPa",Sun Sep 29 17:32:31 +0000 2024,https://twitter.com/FabrizioRomano/status/1840444560859595067
13,1840443265172062325,Fabrizio Romano,"🚨⚪️ Spurs beat Man United at Old Trafford…

3 defeats, 2 wins, 1 draw for Man United in Premier League with 5 goals scored and 8 conceded. 🤯📉

7 points in 6 games. 12th. https://t.co/FkwbFL4oMs",Sun Sep 29 17:27:22 +0000 2024,https://twitter.com/FabrizioRomano/status/1840443265172062325
